1,"890/05","V50 2.4",2435,"YV1MW664262192353","6S42550",866478325,"V50","2003/76B",,"SILVER",11/22/2006,,6/25/2009,"Bazar","Faktura 23.6.2009",,,6525,544,6,3262.5,34609,2884,6,17304.5,,,,,,,,,,20567,,,,,,,
2,"961/06","XC70 D5 AWD",2400,"YV1SZ714671267712","6S43694",866478292,"XC70","2003/76B",,"BLUE",12/12/2006,,4/27/2009,"Mrktng","Lubenský TNT",,,6525,544,4,2175,60994,5083,4,20331.3333333333,,,,,,,,,,22506.3333333333,,,,,,,
3,"308/07","S80 3.2 AWD",3192,"YV1AS985671025470","7S21544",866320224,"S80 NEW","2003/76B",,"BLACK",3/20/2007,7/25/2008,4/1/2009,"Mrktng","E-Pravo",,,8625,719,4,2875,59090,4924,0,0,,,,,,,,,,2875,,,,,,,
4,"1079/06","S80 D5",2400,"YV1AS714171022197","7S22739",868320283,"S80 NEW","2003/76B",,"GREY",4/24/2007,1/15/2008,12/19/2008,"Mrktng",,,,6525,544,0,0,55641,4637,0,0,,,,,,,,,,0,,,,,,,
5,"712/06","S80 D5",2400,"YV1AS714071007349","6S14122",866478362,"S80 NEW","2003/76B",,"GREY",10/10/2006,12/18/2008,5/19/2009,"Courtesy",,,,6525,544,5,2718.75,58216,4851,0,0,,,,,,,,,,2718.75,,,,,,,
6,,,,,"F 22-50",864582946,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,0,,,,,,,
7,"329/07","S80 3,2 AWD",3192,"YV1AS985671024953","7S54727",868320305,"S80 NEW","2003/76B",,"GREY",5/21/2007,"cca 25.4.2008",4/7/2009,"Comp.Car","CC MARUNIAK",,,8625,719,4,2875,63970,5331,0,0,,,,,,,,,,2875,,,,,,,
8,"1183/06","XC90 D5 AWD",2400,"YV1CM714671377747","7S54733",868320316,"XC90","2003/76B",,"SILVER",5/21/2007,,4/16/2009,"Mrktng","PRESS - J.Šetlík",,,6525,544,4,2175,67107,5592,4,22369,,,,,,,,,,24544,,,,,,,
10,"122/07","V70 D5",2400,"YV1SW714172659707","7S55446",868320364,"V70","2003/76B",,"DARK BLUE",6/7/2007,,3/23/2009,"Comp.Car","CC BIRBI, zapůjčka L.Dušek do 16.12.2008",,,6525,544,3,1631.25,52722,4394,3,13180.5,,,,,,,,,,14811.75,,,,,,,
11,"241/07","C70 T5",2521,"YV1MC68517J024306","7S55405",868320353,"C70","2003/76B",,"BLACK",6/7/2007,10/21/2008,9/1/2012,"Bazar","STAFF SYC, prodej AB Brno, neodhlášeno, odstaveno?",,,8625,719,12,8625,62968,5247,0,0,,,,,,,,,,8625,,,,,,,
